title,adult,genres,original_language,popularity,runtime,vote_average,vote_count,actors,director,keywords,release_year,runtime_for_plot,rounded_averages
Evil Dead Rise,False,"['Horror', 'Thriller']",en,85.284,96,6.971,2623,"['Lily Sullivan', 'Alyssa Sutherland', 'Morgan Davies', 'Gabrielle Echols']",Unknown,"['sibling relationship', 'pregnancy', 'earthquake', 'gore', 'sequel', 'los angeles, california', 'demon', 'evil', 'necronomicon', 'reboot', 'demonic possession', 'motherhood', 'sisterhood', 'sister sister relationship', 'body horror', 'apartment']",2023,96,7.0
After We Collided,False,"['Romance', 'Drama']",en,84.678,105,7.196,5142,"['Josephine Langford', 'Hero Fiennes Tiffin', 'Dylan Sprouse', 'Louise Lombard']",Unknown,"['based on novel or book', 'love', 'teenage crush']",2020,105,7.2
Mousa,False,"['Action', 'Adventure', 'Science Fiction']",ar,84.345,101,6.635,26,"['Karim Mahmoud Abdel Aziz', 'Eyad Nassar', 'Asmaa Abu ElYazeed', 'Sabry Fawaz']",Unknown,[],2021,101,6.6
Iron Man 2,False,"['Adventure', 'Action', 'Science Fiction']",en,84.048,124,6.837,20125,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Scarlett Johansson']",Unknown,"['technology', 'superhero', 'malibu', 'based on comic', 'revenge', 'aftercreditsstinger', 'marvel cinematic universe (mcu)', 'break out']",2010,124,6.8
Captain Marvel,False,"['Action', 'Adventure', 'Science Fiction']",en,83.948,124,6.832,15000,"['Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn', 'Jude Law']",Unknown,"['superhero', 'based on comic', 'alien invasion', 'super power', 'female hero', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'woman director', ""hero's journey"", '1990s', 'alien technology']",2019,124,6.8
Big Hero 6,False,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",en,83.743,102,7.735,14990,"['Scott Adsit', 'Ryan Potter', 'Daniel Henney', 'T.J. Miller']",Unknown,"['friendship', 'martial arts', 'hero', 'sibling relationship', 'san francisco, california', 'superhero', 'talent', 'cartoon', 'based on comic', 'revenge', 'tokyo, japan', 'best friend', 'another dimension', 'robot', 'east asian lead', 'boy genius', 'aftercreditsstinger', 'moral dilemma', 'teen superhero', 'dead brother']",2014,102,7.7
Fast & Furious Presents: Hobbs & Shaw,False,"['Action', 'Adventure', 'Comedy']",en,83.73,137,6.866,6795,"['Dwayne Johnson', 'Jason Statham', 'Idris Elba', 'Vanessa Kirby']",Unknown,"['london, england', 'biological weapon', 'secret organization', 'family clan', 'spin off', 'family reunion', 'buddy comedy', 'samoa', 'aftercreditsstinger', 'duringcreditsstinger', 'buddy movie', 'mother son relationship', 'father daughter relationship', 'brother sister relationship']",2019,137,6.9
Godzilla: King of the Monsters,False,"['Science Fiction', 'Action']",en,83.54,132,6.679,5683,"['Kyle Chandler', 'Vera Farmiga', 'Millie Bobby Brown', 'Ken Watanabe']",Unknown,"['mexico', 'boston, massachusetts', 'giant monster', 'cryptozoology', 'eco terrorism', 'creature feature', 'rodan', 'kaiju', 'aftercreditsstinger', 'global threat', 'animal horror', 'king ghidorah', 'sunken city', 'mothra', 'godzilla', 'monsterverse']",2019,132,6.7
Good Mother 3,False,['Romance'],ko,83.388,70,4.1,5,"['Shin Yeon-woo', 'Jeong-yeon', 'Lee Chae-dam', 'Lee Soo-min']",Unknown,"['softcore', '새엄마', '아버지와아들', '성적욕망']",2019,70,4.1
Twilight,False,"['Fantasy', 'Drama', 'Romance']",en,83.369,122,6.289,12903,"['Kristen Stewart', 'Robert Pattinson', 'Billy Burke', 'Peter Facinelli']",Unknown,"['high school', 'soulmates', 'based on novel or book', 'immortality', 'vampire', 'forbidden love', 'teen movie', 'trust', 'desire', 'washington state', 'duringcreditsstinger', 'woman director', 'interspecies romance', 'based on young adult novel', 'supernatural power', 'good versus evil', 'high school romance', 'vampire human love']",2008,122,6.3
Howl's Moving Castle,False,"['Fantasy', 'Animation', 'Adventure']",ja,83.235,119,8.405,9106,"['Chieko Baisho', 'Takuya Kimura', 'Akihiro Miwa', 'Tatsuya Gashûin']",Unknown,"['witch', 'flying', 'rain', 'castle', 'scarecrow', 'body exchange', 'hatter', 'bakery', 'curse', 'steampunk', 'demon', 'anime', 'based on young adult novel']",2004,119,8.4
Jujutsu Kaisen 0,False,"['Animation', 'Action', 'Fantasy']",ja,83.142,105,8.208,1200,"['Megumi Ogata', 'Kana Hanazawa', 'Yuichi Nakamura', 'Takahiro Sakurai']",Unknown,"['supernatural', 'exorcism', 'paranormal', 'tragedy', 'curse', 'based on manga', 'spirit', 'demon', 'school life', 'shounen', 'anime']",2021,105,8.2
El Roomie,False,['Comedy'],es,82.727,99,6.0,1,"['Fiona Palomo', 'José Eduardo Derbez', 'Giuseppe Gamba', 'Bárbara de Regil']",Unknown,[],2024,99,6.0
57 Seconds,False,"['Thriller', 'Science Fiction', 'Action']",en,82.566,99,5.9,276,"['Josh Hutcherson', 'Morgan Freeman', 'Greg Germann', 'Lovie Simone']",Unknown,[],2023,99,5.9
Mad Max: Fury Road,False,"['Action', 'Adventure', 'Science Fiction']",en,82.557,121,7.588,21312,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Hugh Keays-Byrne']",Unknown,"['rescue', 'future', 'australia', 'chase', 'dystopia', 'post-apocalyptic future', 'survival', 'on the run', 'on the road', 'convoy', 'peak oil', 'dark future']",2015,121,7.6
The Zone of Interest,False,"['Drama', 'History', 'War']",en,82.536,105,7.429,56,"['Christian Friedel', 'Sandra Hüller', 'Medusa Knopf', 'Daniel Holzberg']",Unknown,"['based on novel or book', 'nazi', 'concentration camp', 'holocaust (shoah)', 'world war ii', 'auschwitz-birkenau concentration camp', 'based on true story', 'nazi officer', '1940s']",2023,105,7.4
All Ladies Do It,False,"['Comedy', 'Drama']",it,82.409,93,4.892,355,"['Claudia Koll', 'Paolo Lanza', 'Ornella Marcucci', 'Isabella Deiana']",Unknown,"['adultery', 'infidelity', 'husband wife relationship', 'italian', 'shower', 'ecstasy', 'blow job', 'massage', 'anal sex', 'unfaithfulness', 'inheritance', 'sexual attraction', 'cross dressing', 'lust', 'extramarital affair', 'sexual desire', 'trophy wife']",1992,93,4.9
Hypnotic,False,"['Mystery', 'Thriller', 'Action', 'Science Fiction']",en,82.397,93,6.355,901,"['Ben Affleck', 'Alice Braga', 'J. D. Pardo', 'Dayo Okeniyi']",Unknown,"['hypnotism', 'missing daughter']",2023,93,6.4
Wifelike,False,"['Science Fiction', 'Mystery', 'Thriller']",en,82.322,106,6.952,227,"['Elena Kampouris', 'Jonathan Rhys Meyers', 'Doron Bell', 'Agam Darshi']",Unknown,"['artificial intelligence (a.i.)', 'robot girl', 'near future', 'robot wife']",2022,106,7.0
Finding Nemo,False,"['Animation', 'Family']",en,82.282,100,7.8,18411,"['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould', 'Willem Dafoe']",Unknown,"['sydney, australia', 'parent child relationship', 'anthropomorphism', 'harbor', 'underwater', 'shark', 'pelican', 'fish tank', 'great barrier reef', 'sea turtle', 'missing child', 'aftercreditsstinger', 'duringcreditsstinger', 'short term memory loss', 'clownfish', 'father son reunion', 'protective father']",2003,100,7.8
The Lord of the Rings: The Two Towers,False,"['Adventure', 'Fantasy', 'Action']",en,82.214,179,8.392,20771,"['Elijah Wood', 'Sean Astin', 'Andy Serkis', 'Viggo Mortensen']",Unknown,"['mission', 'army', 'based on novel or book', 'funeral', 'orcs', 'elves', 'dwarf', 'explosive', 'fort', 'cave', 'siege', 'addiction', 'attack', 'dragon', 'guide', 'death', 'split personality', 'wizard', 'ring', 'live action and animation', 'sword and sorcery']",2002,179,8.4
John Wick: Chapter 2,False,"['Action', 'Thriller', 'Crime']",en,81.986,122,7.324,12378,"['Keanu Reeves', 'Common', 'Ian McShane', 'Laurence Fishburne']",Unknown,"['martial arts', 'assassin', 'hitman', 'gun', 'italy', 'roof', 'secret organization', 'sequel', 'revenge', 'shootout', 'handshake', 'neo-noir', 'dark', 'dogs']",2017,122,7.3
John Wick: Chapter 3 - Parabellum,False,"['Action', 'Thriller', 'Crime']",en,81.803,131,7.445,10019,"['Keanu Reeves', 'Halle Berry', 'Ian McShane', 'Laurence Fishburne']",Unknown,"['new york city', 'martial arts', 'bratva (russian mafia)', 'casablanca, morocco', 'secret society', 'morocco', 'secret organization', 'black humor', 'sahara desert', 'sequel', 'organized crime', 'one man army', 'consequences', 'professional assassin', 'baba yaga', 'dog man friendship']",2019,131,7.4
Kingdom III: The Flame of Destiny,False,"['Action', 'Adventure', 'War']",ja,81.717,129,7.6,92,"['Kento Yamazaki', 'Ryo Yoshizawa', 'Kanna Hashimoto', 'Nana Seino']",Unknown,['based on manga'],2023,129,7.6
