actor,avg_rating,avg_popularity,movie_count
Alexandra Maria Lara,7.2674,26.3836,5
Alexandra Shipp,6.998714285714286,95.01057142857142,7
Alfre Woodard,6.703428571428572,25.714285714285715,7
Alfred Molina,6.618833333333334,18.938333333333333,12
Ali Larter,6.0354,24.7314,5
Alice Braga,6.531,34.10014285714286,7
Alice Eve,5.8575,51.968875000000004,8
Alice Krige,6.473,17.404,7
Alicia Silverstone,5.989777777777778,23.13411111111111,9
Alicia Vikander,6.66425,26.769625,8
Alison Brie,6.3571,45.8738,10
Allison Janney,6.862399999999999,64.604,5
Alyson Hannigan,5.918833333333333,29.381833333333333,6
Amanda Bynes,6.308833333333333,26.092,6
Amanda Crew,6.406000000000001,26.6034,5
Amanda Peet,6.134555555555555,21.66111111111111,9
Amanda Seyfried,6.607714285714286,30.316238095238095,21
Amber Heard,5.8236,35.4454,10
America Ferrera,7.2801,70.1541,10
America Young,7.0884,19.3904,5
Aml Ameen,6.098599999999999,33.2344,5
Amy Adams,6.771173913043478,28.60326086956522,23
Amy Poehler,5.219374999999999,39.307500000000005,8
Amy Ryan,6.6194999999999995,27.095375,8
Amy Smart,6.15275,32.33,12
Ana de Armas,6.333857142857142,45.32035714285714,14
Ana de la Reguera,6.3100000000000005,36.18675,8
Andie MacDowell,6.5817,21.503700000000002,10
Andrea Libman,7.5327142857142855,20.180285714285713,7
Andrea Riseborough,6.530444444444445,19.788333333333334,9
Andrew Garfield,6.9270000000000005,39.54754545454546,11
Andy García,6.377764705882353,23.140117647058823,17
Andy Lau,6.8469999999999995,23.8598,10
Andy Samberg,6.465307692307693,33.59230769230769,13
Andy Serkis,6.90790909090909,42.034727272727274,11
Angela Bassett,6.054555555555556,24.096777777777778,9
Angela Lansbury,6.9664,15.151599999999998,5
Angeli Khang,4.277272727272727,32.426,11
Angelina Jolie,6.542333333333334,30.520666666666667,30
Angélica Vale,7.5542,24.6156,5
Anika Noni Rose,6.774800000000001,30.5644,5
Anjelica Huston,6.834777777777777,21.682555555555556,9
Ann-Margret,6.539199999999999,18.988999999999997,5
Anna Faris,6.018761904761905,29.7002380952381,21
Anna Kendrick,6.597,40.33990476190476,21
Anna Paquin,7.187833333333334,15.862833333333334,6
AnnaSophia Robb,6.508666666666667,25.713166666666666,6
Annabelle Wallis,6.297142857142857,24.37257142857143,7
Annabeth Gish,6.575833333333333,20.586,6
Anndi McAfee,6.472199999999999,14.018200000000002,5
Anne Hathaway,6.705344827586206,35.91624137931034,29
Anne Heche,5.895222222222222,17.632777777777775,9
Annette Bening,6.681,21.330125,16
Ansel Elgort,6.9876000000000005,24.766,5
Anthony Anderson,6.0925,24.8055,8
Anthony Edwards,6.900333333333333,27.28316666666667,6
Anthony Hopkins,6.7635,32.03857142857143,28
Anthony Mackie,6.175777777777778,21.061333333333334,18
Anthony Perkins,6.529599999999999,18.881,5
Anthony Quinn,6.934444444444444,18.089444444444446,9
Anton Yelchin,6.757142857142857,16.39014285714286,7
Antonio Banderas,6.533216216216217,31.77802702702703,37
Anya Taylor-Joy,6.294727272727273,55.757999999999996,11
Aoi Yuki,7.486166666666667,25.188916666666668,12
Armand Assante,6.0055000000000005,21.078666666666667,6
Armie Hammer,6.873333333333333,24.80655555555556,9
Arnold Schwarzenegger,6.251310344827586,31.496000000000002,29
Arnold Vosloo,6.415285714285715,32.08157142857143,7
Asa Butterfield,6.506636363636364,62.672000000000004,11
Asami Seto,7.502000000000001,26.1444,5
Ashleigh Ball,7.394625,18.374125,8
Ashley Greene,6.156000000000001,21.337799999999998,5
Ashley Judd,6.342999999999999,18.253,7
Ashley Tisdale,6.329111111111112,21.246555555555556,9
Ashton Kutcher,6.244692307692308,28.484076923076923,13
Atsuko Tanaka,7.272799999999999,19.735400000000002,5
Aubrey Plaza,6.2756,24.2688,10
Audrey Hepburn,7.3162,17.561799999999998,10
Audrey Tautou,7.0116,22.3616,5
Awkwafina,6.212428571428572,68.25399999999999,7
Aya Hirano,7.3878,16.1268,5
Aya Hisakawa,7.8896,18.0046,5
Ayako Kawasumi,7.25,18.155666666666665,6
Ayane Sakura,5.509857142857143,14.626000000000001,7
Ayumu Murase,7.502666666666666,26.153000000000002,6
Azi Acosta,3.88,62.012,5
Baek Se-ri,4.622428571428571,20.772428571428573,7
Barbara Hershey,6.8565,21.967333333333332,6
Barbara Stanwyck,7.2276,29.5348,5
